Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10n,C_0805_2012Metric,111.0,-45.1,-90.0,top
C10,100n,C_0603_1608Metric,99.0,-46.5,0.0,top
C11,100n,C_0603_1608Metric,92.0,-59.4,0.0,top
C12,10u,C_0805_2012Metric,92.2,-55.6,0.0,top
C13,10u,C_0805_2012Metric,92.2,-57.6,0.0,top
C14,10n,C_0805_2012Metric,100.85,-66.25,90.0,top
C2,100n,C_0402_1005Metric,107.1,-52.28,-90.0,top
C3,1n,C_0402_1005Metric,108.1,-52.28,-90.0,top
C4,10u,C_0805_2012Metric,111.79,-62.4,180.0,top
C5,100n,C_0402_1005Metric,111.03,-63.9,180.0,top
C6,10u,C_0805_2012Metric,111.8,-60.4,180.0,top
C7,10u,C_0805_2012Metric,111.8,-58.4,180.0,top
C8,10u,C_0805_2012Metric,99.0,-44.5,0.0,top
C9,100n,C_0402_1005Metric,111.1,-56.9,180.0,top
D1,SS22,D_SMA,114.1,-49.2,180.0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,105.0,-39.085,180.0,top
J2,usb_cam1,PinHeader_1x05_P1.00mm_Vertical,95.9,-71.19,-90.0,top
J3,usb_cam2,PinHeader_1x05_P1.00mm_Vertical,95.92,-66.02,-90.0,top
J4,usb_cam3,PinHeader_1x05_P1.00mm_Vertical,114.49,-66.14,90.0,top
J5,usb_in,JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical,105.1,-70.8,180.0,top
R1,33k,R_0603_1608Metric,109.1,-45.0,-90.0,top
R10,22R,R_0402_1005Metric,99.227026,-59.719973,0.0,top
R11,22R,R_0402_1005Metric,99.227026,-60.989973,180.0,top
R12,22R,R_0402_1005Metric,99.227026,-61.999973,0.0,top
R13,22R,R_0402_1005Metric,105.1,-67.2,-90.0,top
R14,22R,R_0402_1005Metric,106.1,-67.2,-90.0,top
R15,33k,R_0603_1608Metric,102.65,-66.45,90.0,top
R2,22R,R_0402_1005Metric,104.5,-45.2,-90.0,top
R3,22R,R_0402_1005Metric,105.5,-45.2,-90.0,top
R4,10k,R_0402_1005Metric,107.2,-53.8,180.0,top
R5,4k7,R_0402_1005Metric,103.0,-44.3,-90.0,top
R6,4k7,R_0402_1005Metric,107.3,-44.7,-90.0,top
R7,22R,R_0402_1005Metric,99.227026,-56.489973,180.0,top
R8,22R,R_0402_1005Metric,99.227026,-57.489973,0.0,top
R9,22R,R_0402_1005Metric,99.227026,-58.689973,0.0,top
U1,TS3USB30EDGSR,VSSOP-10_3x3mm_P0.5mm,103.0,-53.0,0.0,top
U2,CH334R,QSOP-16_3.9x4.9mm_P0.635mm,105.417026,-58.489973,0.0,top
U3,AZ1117-3.3,SOT-223-3_TabPin2,94.849999,-51.0,180.0,top
Y1,12Mhz,Crystal_SMD_3225-4Pin_3.2x2.5mm,111.5,-54.0,90.0,top
